经度,-86.0425,,
纬度,44.7561,,
开始时间,2015年01月14日 00时,,
结束时间,2015年01月14日 23时,,
时区,GMT-04:00,,
数据源,欧洲中期天气中心,,
风机型号,GW_1.5_70,,
轮毂高度(m),70.0,,
装机容量(MW),1.5,,
,,,
日期,时间,输出功率(MW),风速(m/s)
2015-01-14,00:00:00,0.44652580175722545,7.280785600809567
2015-01-14,01:00:00,0.5029134579133933,7.56635392256218
2015-01-14,02:00:00,0.49515222883989496,7.53312234508861
2015-01-14,03:00:00,0.42555258829830084,7.18550421320839
2015-01-14,04:00:00,0.39445654806264147,7.037400441207841
2015-01-14,05:00:00,0.4832377481253675,7.5072926820808625
2015-01-14,06:00:00,0.5216718750880167,7.708462306547472
2015-01-14,07:00:00,0.5025990730012442,7.610539060669684
2015-01-14,08:00:00,0.4894724432157432,7.544089735807036
2015-01-14,09:00:00,0.5063026527763375,7.63753556287591
2015-01-14,10:00:00,0.5191828698360295,7.719444054461551
2015-01-14,11:00:00,0.5738918742893582,8.004745330955727
2015-01-14,12:00:00,0.5283326859240756,7.775515537851353
2015-01-14,13:00:00,0.4660867818550116,7.45293549912202
2015-01-14,14:00:00,0.37768058221737977,6.9898004789485215
2015-01-14,15:00:00,0.3117862922139241,6.532965098559074
2015-01-14,16:00:00,0.2984297594155648,6.441149404445162
2015-01-14,17:00:00,0.21640841085348708,5.821739791429042
2015-01-14,18:00:00,0.18633134713422564,5.530235558688964
2015-01-14,19:00:00,0.20031850260763867,5.670507068359884
2015-01-14,20:00:00,0.2178242278737326,5.843565696666251
2015-01-14,21:00:00,0.2208091087865671,5.874366433542584
2015-01-14,22:00:00,0.20170476937243478,5.688130179191187
2015-01-14,23:00:00,0.21739747001872414,5.84558990996387
